"Access Denied";"Capaian ditolak"
"Ryan gVay";"Ryan gVay"
KarlDub;KarlDub
"Kevin the Nightstalker";"Kevin Nightstalker dalam"
"Account Status:";"Status akaun:"
Activated;Diaktifkan
Locked;Dikunci
"Create Account";"Cipta akaun"
"Customer ID";"ID pelanggan"
"Business Name";"Nama Perniagaan"
192;192
"Chris Bosh George";"Chris Bosh George"
"Burger Machine";"Mesin burger"
Seller;Penjual
"Ronald McDonald Duck";"Ronald McDonald Duck"
"McDonalds Fastfood";"McDonalds Fastfood"
Mechant;Mechant
"Casper Daprenlygosh";"Casper Daprenlygosh"
"Haus of Honor";"Haus Kehormat"
Hybrid;Hibrid
"Manual Creation List";"Senarai manual penciptaan"
"Manual Creation Details";"Butir-butir ciptaan secara manual"
"Account Details";"Butir-butir akaun"
"Account Notes";"Nota-Nota akaun"
"Basic Information";"Maklumat asas"
Affiliate;Affiliate
"Email Address";"Alamat e-mel"
"Mobile Number";"Nombor telefon bimbit"
"Address Information";"Maklumat alamat"
Addresses;Alamat
"&nbsp;";"&nbsp;"
Home;Rumah
"1234 Building Street 2 Street Subdivision Metro Manila Manila Barangay 2 ,566056";"Jalan bangunan 1234 2 pembahagian jalan Metro Manila Manila Barangay 2, 566056"
"Bank Accounts";"Akaun bank"
2130909455677;2130910000000
"George Georgia";"George Georgia"
"Metrobank of the Borneo";"Metrobank Borneo"
"Accreditation Option";"Opsyen akreditasi"
"Accreditation Level";"Tahap pengiktirafan"
"Level 1";"Aras 1"
"Level 2";"Aras 2"
"Level 3";"Aras 3"
"Level 4";"Aras 4"
"Activate this Account?";"Aktifkan akaun ini?"
Activate;Aktifkan
"This Account is Active";"Akaun ini adalah aktif"
"If you wish to deactivate this account, click";"Jika anda ingin menyahaktifkan akaun ini, klik"
"Deactivate Now";"Menyahaktifkan sekarang"
"Temporary Password";"Kata laluan sementara"
"System Information";"Maklumat sistem"
"Created By";"Dicipta oleh"
"Karl Cases";"kes Karl"
", 10/22/16 4:43 am";", 10/22/16 4:43 am"
"Last Modified By";"Dikemaskini oleh"
"Save Changes";"Simpan perubahan"
Notes;Nota-Nota
Title;Tajuk
Message;Mesej
Actions;Tindakan-tindakan
"About Paul Edward Borja and the Spaghetti";"Tentang Paul Edward Borja dan spageti yang"
"Last Modified: 10/22/16 4:51 am";"Kemaskini Terakhir: 10/22/16 4:51 am"
View;Pandangan
"New Notes";"Nota baru"
Placeholder;Ruang letak
"Enter product description here";"Masukkan penerangan produk di sini"
Save;Simpan
"Bank Account";"Akaun bank"
"Enter your bank account title here";"Masukkan tajuk akaun bank anda di sini"
"Enter your bank account number here";"Masukkan nombor akaun bank anda di sini"
"Enter your bank account name here";"Masukkan nama akaun bank anda di sini"
"Are you sure you want to delete this bank account";"Adakah anda pasti hendak menghapuskan akaun bank ini"
Delete;Hapus
Log-out;Log keluar
English;Inggeris
Chinese;Cina
Canada;Kanada
"Transactions List";"Senarai transaksi"
"Seller Pay-out";"Penjual membayar dividen"
"Buyer Refund";"Bayaran balik pembeli"
"Buyer Refund History";"Pembeli balik sejarah"
"Promo List";"Senarai promosi"
"Seller Accreditation";"Penjual akreditasi"
"Inhouse Products";"Produk dalaman"
"Buyer List";"Senarai pembeli"
"Seller/Affiliate List";"Senarai /Affiliate penjual"
"Product Listings";"Senarai produk"
Vouchers;Baucar
"Request Pay-Outs List";"Meminta senarai Pay-out"
"Batch Pay-Out List";"Senarai batch membayar dividen"
Product;Produk
Notification;Pemberitahuan
"Mobile Web view (CMS)";"Paparan Web mudah alih (CMS)"
"Daily Present";"Masa harian"
"Custom Messages";"Mesej peribadi"
"Message here";"Mesej di sini"
"Inner Banners";"Banner yang batin"
"Upload Banner";"Meng-upload Banner"
"Select your Banner Permit file from your computer";"Pilih fail Banner Permit dari komputer anda"
"Compatible files: JPEG and PNG";"Fail yang sesuai: JPEG dan PNG"
"Banner URL";"Banner URL"
"Product CMS";"Produk CMS"
"Created Date/Time";"Tarikh/masa dicipta"
Creator;Pencipta
Type;Jenis
"12/31/16, 3:00pm";"12/31/16, 3:00pm"
"George Paul";"Paul George"
"Homepage Row";"Berturut-turut di Laman Utama"
"Hot Items";"Hot item"
150;150
"Queued @ 12:00am";"Dibariskan di 12:00 am"
"Custom Page";"Adat Laman"
"Shop Wise";"Membeli-belah lagi bijaksana"
Create;Mencipta
"Create Product CMS";"Mencipta produk CMS"
"Product Title";"Tajuk produk"
"Enter Your Product Title";"Masukkan tajuk produk anda"
"Upload Featured Banner (Homepage)";"Meng-upload Banner terutama (Laman Utama)"
"Upload Featured Banners (Homepage) here";"Meng-upload banner disediakan (Laman Utama) di sini"
"Compatible files: JPEG, PNG and PDF";"Fail yang sesuai: JPEG, PNG dan PDF"
"Paste Featured Product (Homepage) Link here";"Tampal agar produk (Laman Utama) Link di sini"
Image;Imej
"Upload Featured Banner (Inner-Page)";"Meng-upload Banner terutama (Inner-muka)"
"Upload Featured Banners (Inner-Page) here";"Meng-upload agar banner (Inner-muka) di sini"
"Paste Product Link (Inner-Page) here";"Tampal pautan produk (Inner-muka) di sini"
"Product List";"Senarai produk"
Clear;Jelas
"Add Products";"Tambah produk"
"Date Created";"Tarikh dicipta"
"Product Name";"Nama produk"
"Active Promo";"Promo aktif"
"Original Price";"Harga asal"
"Discounted Price";"Harga diskaun"
"Available Stock";"Stok tersedia"
"Product Sold";"Produk yang dipasarkan"
12/16/16;12/16/16
20%;20%
"PhP 21230";"PHP 21230"
"PhP 18930";"PHP 18930"
2003;2003
122;122
"By Checking this box";"Dengan menanda kotak ini"
"Start the Process IMMEDIATELY";"Mulakan proses segera"
"Enter product list here";"Masukkan senarai produk di sini"
"Price Range:";"Julat harga:"
Brands:;Jenama:
"Sort By:";"Susun mengikut:"
Alphabetical;Abjad
"New to Old";"Baru ke lama"
"Old to New";"Lama kepada baru"
Relevance;Perkaitan
Categories:;Kategori:
Status:;Status:
Active;Aktif
Inactive;Tidak aktif
Manufacturer:;Pengeluar:
"Please click on the image you want to set as primary";"Sila klik pada imej yang anda ingin menetapkan utama seperti"
Primary;Utama
Check;Semak
Error;Ralat
"Remove file";"Alih keluar fail"
SKU;SKU
Width;Lebar
Height;Ketinggian
Length;Panjang
Weight;Berat badan
Quantity;Kuantiti
"Regular Price";"Harga biasa"
"Shipping fee";"Kos penghantaran"
"Retail Price";"Harga runcit"
Commission;Suruhanjaya
Date;Tarikh
"Promo Name";"Nama promo"
"Promo Discount";"Promosi diskaun"
12/12/16;2012/12/16
"Perfect Purple Pair";"Pasangan ungu yang sempurna"
"Last Edit By";"Last Edit oleh"
"Time Stamp";"Cap masa"
"Chris Paul George";"Chris Paul George"
"Upload 5 Photos";"Meng-upload foto 5"
"2:00 am";"2:00 am"
"Date Range:";"Julat Tarikh:"
"Start Date";"Tarikh mula"
"End Date";"Tarikh tamat"
"Quantity Sold";"Kuantiti yang dijual"
50;50
"Export to Excel";"Eksport ke Excel"
"In-House Listings";"Senarai Hotel"
Item;Item
Category;Kategori
Brand;Kebakaran
Brief;Surat
Details;Butir
Photos;Gambar
Combinations;Kombinasi
"Reason of Approval";"Sebab kelulusan"
Back;Belakang
"Reason of Rejection";"Sebab atau penolakan"
[[Username]];[[Nama]]
Refund;Bayaran balik
"Order ID";"ID perintah"
"Invoice No";"No invois"
"Seller ID";"Penjual ID"
User;Pengguna
"Product ID";"Item ID"
"Order Quantity";"Kuantiti pesanan"
"Unit Price";"Harga seunit"
"Total Amount";"Jumlah amaun"
EasyPoint;EasyPoint
NET;HANYA
144;144
144-2-1503240909;144-2-1503240909
2;2
"man of effin steel";"lelaki atau effin keluli"
333;333
"sammmy sam";"sammmy sam"
1;1
On-going;Berterusan
182;182
182-12003-1504280105;182-12003-1504280105
79;79
warcraft;Warcraft
14;14
"Paid - Returned";"Dibayar-kembali"
"Proceed To Refund";"Meneruskan bayaran balik"
"History Information";"Maklumat sejarah"
"Shipping Price";"Harga penghantaran"
"Easyshop Charge";"Caj Easyshop"
"Payment Method Charge";"Caj kaedah bayaran"
Easypoints;Easypoints
Net;Hanya
201-1-1506040106;201-1-1506040106
sammyboi22_22;sammyboi22_22
apple;Apple
"History ID";"Pengenalan sejarah"
State;Negeri
404;404
"2015-06-02 17:57:14";"2558-06-02 17:57:14"
"Item has not been shipped";"Item telah dihantar"
"Reason of Cancellation";"Sebab atau pembatalan"
Requestor;Trafiknya
"--Select Requestor--";"--Pilih trafiknya--"
Buyer;Pembeli
"Type of Reason";"Jenis-jenis sebab"
"--Select Reason--";"--Pilih sebab--"
"Edit/Add Category";"Edit/Tambah Kategori"
Name;Tertentu
Description;Description/kawalan
Keyword;Kata kunci
"Sort Order";"Susun mengikut"
"Order Product Id";"Pesanan produk Id"
"Shipping Fee";"Kos penghantaran"
"Total Price";"Jumlah harga"
"Net Price";"Harga bersih"
"Current Tag";"Tag semasa"
209;209
"Order Details";"Butir-butir pesanan"
Sample;Sampel
KD3-38u123pi;KD3-38u123pi
"YiLinker Charge";"Caj YiLinker"
"Order Product ID";"Pesanan produk ID"
"Unflag Transaction";"Unflag urus niaga"
"Void Transaction";"Transaksi yang tidak sah"
"Apple Watch";"Apple Watch"
"Short Description";"Huraian ringkas"
"Full Description";"Penerangan penuh"
"Jewellery &amp; Watches";"Jam tangan emas & amp;"
Custom;Adat
"Dimensions &amp; Weight";"Dimensi & amp; berat badan"
"Length (CM)";"Panjang (CM)"
"Width (CM)";"Lebar (CM)"
"Weight (KG)";"Berat (KG)"
"Height (CM)";"Tinggi graduan (CM)"
"Combination Name";"Gabungan nama"
10001;10001
10;10
Color;Warna
Blue;Biru
Size;Saiz
Large;Besar
Address;Alamat
"asdsadsad, 123 jkhjk, asdsadsad, BF International Village, Las Pinas, Metro Manila, 1213";"Amey, Abdellah Abdellah, 123, BF International Village, Las Pinas, Metro Manila, 1213"
"Generate Code";"Menjana kod"
477-344-1;477-344-1
"This account doesnt have any bank information";"Akaun ini tidak mempunyai apa-apa maklumat bank"
Add;Tambah
"My BPI Bank Account";"Akaun BPI Bank"
283713968540781;283713968540781
"George Macalulo Winston Lee";"George Macalulo Winston Lee"
BPI;BPI
Edit;Edit
"Bank Account Title";"Tajuk akaun bank"
UCPB;UCPB
"Allied Bank";"Allied Bank"
"Returned Item Pickup";"Kembali perkara kutip"
Schedule;Jadual
02/29/16;02/29/16
"Day Hour";"Jam hari"
"eq. 1 Am";"eq. 1 Am"
Why?;Mengapa?
"Bank Name:";"Nama Bank:"
Payout;Pembayaran
"Buyer ID";"ID pembeli"
"Proceed To Payment";"Meneruskan bayaran"
"Paid - Forwarded";"Dibayar-kemuka"
"Shipment Information";"Maklumat penghantaran"
Courier;Kurier
"Boy George Delivery";"Boy George penghantaran"
"Date of Shipment";"Tarikh atau penghantaran"
"2015-04-01 00:00:00";"2015-04-01 00:00:00"
"Expected Date of Arrival";"Tarikh dijangka tiba"
"2015-04-04 00:00:00";"2015-04-04 00:00:00"
"Tracking Number";"Tracking nombor"
PK-235-137-556;HP-235-137-556
"Missing Courier";"Hilang kurier"
"Last updated on 2015-04-06 17:37:55";"Terakhir Dikemaskini pada tahun 2015-04-06 17:37:55"
Cancelled;Dibatalkan
"&#8230;";"&#8230;"
Color:;Warna:
Red;Merah
Size:;Saiz:
Samplenation:;Samplenation:
"Super Duper Ninja Warrior";"Super Duper Ninja Warrior"
resolved;diselesaikan
"George Chris Paul";"George Chris Paul"
"requested items for cancellations";"barang yang diminta untuk pembatalan."
"Order ID 209: Shoulder Bag";"Perintah ID 209: bahu beg"
"Posted on 12:30 pm, July 21, 2014";"Posted on 12:30 pm, 21 Julai 2014"
"Koya Carl";"Carl Koya"
"Approve Cancellation";"Meluluskan pembatalan"
Reject;Menolak
"Select Reason";"Pilih sebab"
"Resolution Center";"Resolusi Pusat"
"Disputed Tag Detected!";"Tag dipertikaikan dikesan!"
attachments;lampiran
"Proceed to Resolution Center";"Teruskan ke pusat resolusi"
"Flagged Tag Detected!";"Tag bendera yang dikesan!"
Approve;Meluluskan
"Search By Batch ID/Process By";"Cari mengikut kelompok ID/proses dengan"
"Grand Batch Amount";"Jumlah Kumpulan Grand"
"Batch ID";"ID Kumpulan"
Count;Kiraan
"Process By";"Proses dengan"
Amount;Jumlah
Memo;Memo
Action;Tindakan
"Are you sure you want to remove payout?";"Adakah anda pasti anda mahu mengalih keluar pembayaran?"
Remove;Alih Keluar
"Batch Payout";"Batch pembayaran"
"Batch Number";"Nombor Kumpulan"
"Batch Date";"Tarikh Kumpulan"
"Write your Remarks";"Menulis kata anda"
"Attach Files";"Lampirkan fail"
"Upload Receipt";"Upload resit"
"Transaction Update List";"Senarai pengemaskinian transaksi"
"Search by reference number";"Cari mengikut nombor rujukan"
"Request By";"Meminta dengan"
Method;Kaedah
Bank;Bank
"Bank Info / Pay To";"Info/bayar kepada Bank"
Charge;Caj
"Net Amount";"Amaun bersih"
"Total Batch Amount";"Jumlah keseluruhan Kumpulan"
"Are you sure you want to remove file?";"Adakah anda pasti anda mahu mengalih keluar fail?"
"Are you sure you want to remove payout request?";"Adakah anda pasti anda mahu mengalih keluar permintaan pembayaran?"
"Search (requester fullname, requester email, bank name, bank account number, bank account name, reference no.)";"Cari (fullname, requester requester e-mel, bank nama, nombor akaun bank, nama bank akaun, rujukan tidak.)"
"Order by Date";"Perintah mengikut tarikh"
Ascending;Menaik
Descending;Menurun
"Payment Status:";"Status pembayaran:"
"Payment Method";"Kaedah pembayaran"
"Reference Id";"Rujukan Id"
"Proceed Batch Pay-Out";"Teruskan Kumpulan membayar dividen"
"For Review";"Untuk semakan"
InActive;Tidak aktif
Store:;Kedai:
Condition;Keadaan
URL;URL
Videos;Video
"Reject Remarks";"Menolak kata"
"Item Details";"Perkara butiran"
"Shipping Category";"Kategori perkapalan"
"Store Details";"Menyimpan butir"
"Seller Name";"Nama penjual"
"No youtube video";"Video youtube"
"Posted on";"Posted on jawatan kosong"
"Send Reject Remark";"Menghantar Ulasan tolak"
"Promo Management";"Pengurusan promosi"
"Promo Type";"Jenis promosi"
"Promo Details";"Butir promo"
"Promo is currently Active";"Promosi yang sedang aktif"
Advertisement;Iklan
"Discount %";"Diskaun %"
Discount;Diskaun
Start;Mula
End;Akhir
"% per hour";"% sejam"
"Percent per hour";"Peratus setiap jam"
"Minimum %";"Minimum %"
"Quantity Required";"Kuantiti yang diperlukan"
"Max Quantity";"Max kuantiti"
"Countdown Timer is currently Disabled";"Pemasa Hitung mundur dinyahdayakan"
"Yes, Enable the Countdown timer";"Ya, mengaktifkan pemasa Hitung mundur"
"Countdown Timer is Active";"Pemasa Hitung mundur adalah aktif"
"5 :";"5 :"
days;hari
hrs;JAM
min;min
sec;SEC
"left until the promo ends";"kiri sehingga tamat promosi ini"
"Disabled Countdown Timer";"Pemasa undur Kurang Upaya"
"Product list";"Senarai produk"
"Item Name";"Nama item"
Price;Harga
"Activate this Promo";"Aktifkan Promo ini"
"Add Item (separated by line break)";"Menambah Item (dipisahkan oleh perenggan)"
"Congratulations! This promo has been successfully enabled";"Tahniah! Promo ini telah berjaya didayakan"
Deactivate;Menyahaktifkan
Notifications;Pemberitahuan
"Search By Title / Message Content";"Cari mengikut kandungan tajuk/mesej"
"IOS (Mobile)";"IOS (bimbit)"
"Andriod (Mobile)";"Andriod (bimbit)"
---;---
"Custom Pages";"Halaman tersuai"
"Product Search";"Carian produk"
Store;Kedai
"Store Search";"Cari kedai"
"Send Notification";"Menghantar makluman"
Devices;Peranti
Target;Sasaran
Sender;Penghantar
"Is Active";"Aktif"
"Recipient Device";"Peranti penerima"
"Message (Max : 100)";"Mesej (Max: 100)"
Schedule:;Jadual:
"Set Schedule";"Set jadual"
"Is Active?";"Sedang aktif?"
"Boy George Dako Wewe";"Boy George Dako Wewe"
"George Haircut Station";" George Haircut Stesen"
"479 9th Street West, Menomonee Falls, WI 53051";"479 9 Jalan Barat, jatuh Menomonee, WI 53051"
Position;Kedudukan
"Manager / Yaya";"Pengurus/Yaya"
"Telephone Number";"Nombor telefon"
532-2393;532-2393
"(63) 937-234-1286";"(63) 937-234-1286"
"International Bank of the World ever!";"Bank antarabangsa di dunia pernah!"
1872-2783-5869;1872-2783-5869
"File Name";"Nama fail"
9/12/3035;9/12/3035
"Accreditation Level 0";"Pengiktirafan tahap 0"
"Accreditation Level 1";"Akreditasi tahap 1"
"Accreditation Level 2";"Pengiktirafan tahap 2"
"Accreditation Level 3";"Pentauliahan tahap 3"
"Accreditation Level 4";"Akreditasi Aras 4"
"Accreditation Level 5";"Akreditasi Aras 5"
"Columns Container";"Kolum kontena"
"Order Status";"Status pesanan"
11/12/14;2011/12/14
"Transaction ID";"ID transaksi"
"Date of Transaction";"Tarikh atau urus niaga"
"Type of Payment Method";"Jenis atau kaedah pembayaran"
201;201
PPY-1506040106-1;PPY-1506040106-1
PAID;DIBAYAR
"2015-06-04 13:05:51";"2015-06-04 13:05:51"
PESOPAY;PESOPAY
11;11
12;12
"Storename / Username";"Storename/Username"
From;Dari
To;Untuk
Storename;StoreName
Email;E-mel
"Asia United Bank";"Bank Bersatu Asia"
aaaaa;aaaaa
bbbbb;bbbbb
9876545345;9876545345
9878263787;9878263787
"Category Listings";"Penyenaraian kategori"
"Main Category";"Kategori utama"
"Sub Category";"Kategori sub"
Filters;Penapis
Slug;Slug
"10-24-1991 06:30:05";"10-24-1991 06:30:05"
0;0
PROMOTIONAL_ITEMS;PROMOTIONAL_ITEMS
"Special Promotional Items";"Barangan promosi istimewa"
"Special Promotional222";"222 promosi Khas"
promo-special;promo-special
"Contact Buyer";"Hubungi pembeli"
"Invoice Number";"Nombor invois"
"Buyer Fullname";"Fullname pembeli"
"Buyer Store Name";"Kedai nama pembeli"
"Buyer Email";"E-mel pembeli"
"Transaction Date";"Tarikh urus niaga"
198;198
PPY-1506020514-1;PPY-1506020514-1
198-1-1506020514;198-1-1506020514
"Omaha maria23";"Omaha maria23"
"2015-06-02 18:02:17";"2015-06-02 18:02:17"
"Contact Seller";"Hubungi Penjual"
"Seller Fullname";"Fullname Penjual"
"Seller Store Name";"Nama kedai Penjual"
"Number of Products";"Bilangan produk"
"Seller Email";"E-mel Penjual"
Dashboard;Papan pemuka
Products;Produk-produk
Buyers;Pembeli
Sellers;Penjual
Transactions;Urus niaga
"Sorry, Your database is currently empty";"Maaf, pangkalan data anda adalah kosong buat masa ini"
"Case ID";"Kes ID"
"Dispute Type";"Jenis pertikaian"
Complainant;Pengadu
"Date Filed";"Tarikh yang difailkan"
email;e-mel
"Seller Payout";"Penjual pembayaran"
"Legal Documents";"Dokumen undang-undang"
"This Account currently Locked";"Akaun ini sedang dikunci"
"Do you want to Activate it now?";"Adakah anda mahu aktifkan sekarang?"
"Yes, Activate this Account";"Ya, aktifkan akaun ini"
"Select your DTI/SEC Permit file from your computer";"Pilih fail DTI/SEC Permit dari komputer anda"
"Select your Mayor's Permit file from your computer";"Pilih Datuk anda Permit fail dari komputer anda"
"Select your BIR Permit file from your computer";"Pilih fail BIR Permit dari komputer anda"
"Form MA1501 Permit";"Borang MA1501 Permit"
"Select your Form MA1501 file from your computer";"Pilih fail borang MA1501 anda dari komputer anda"
"Where to get a copy of Form MA1501?";"Di mana untuk mendapatkan salinan borang MA1501?"
"Download Form MA1501";"Muat turun borang MA1501"
"Other Documents";"Lain-lain dokumen"
"Select a document file from your computer";"Pilih fail dokumen dari komputer anda"
"Mobile Management";"Pengurusan mudah alih"
"Push Notification";"Pemberitahuan tolak"
"Notification Message";"Mesej pemberitahuan"
;
"Number of Product Listings:";"Bilangan senarai produk:"
10145;10145
"2014-08-15 12:23:16";"2014-08-15 12:23:16"
sfasfas;sfasfas
"Building Toys";"Bangunan mainan"
122121;122121
212;212
"New other (see details)";"Baru (lihat butir)"
"Promo Banners";"Banner promosi"
"Create Promo Banner";"Mencipta Banner promosi"
"Select Product";"Pilih produk"
"Enter Product Slug";"Masukkan produk Slug"
"Add Product";"Tambah produk"
"Change Product";"Tukar produk"
"This Promo Banner currently Disabled";"Banner promosi ini dinyahdayakan buat masa ini"
"Do you want to enable it now?";"Adakah anda mahu mendayakannya sekarang?"
"Yes, Enable this Promo Banner";"Ya, dayakan Banner promosi ini"
"This Promo Banner is Enabled";"Banner promosi ini membolehkan"
"Disable Now";"Menyahdayakan sekarang"
"Upload Banners";"Meng-upload banner"
"Upload Banners here";"Meng-upload banner di sini"
"Search By Product Name";"Cari mengikut nama produk"
Category:;Kategori:
Electronics;Elektronik
Gadget;Alat
Clothes;Pakaian
Enable;Membolehkan
Disable;Mematikan
"Banner Count";"Kiraan banner"
"Date Added";"Tarikh ditambah"
10/20/15;10/20/15
Enabled;Membolehkan
"Samsung Galaxy j1";"J1 Samsung Galaxy"
5;5
Disabled;Kurang Upaya
"Raffle Manager";"Pengurus loteri"
"Register Raffle";"Loteri daftaran"
"Raffle Name";"Secara khususnya, loteri"
"Pool of Possible Winners";"Kolam Renang atau mungkin pemenang"
"Number of Winners to Generate";"Bilangan pemenang untuk menjana"
"List of Prices";"Senarai Harga"
"Raffle Lists";"Senarai loteri"
Raffle_Name;Raffle_Name
Winners;Pemenang-pemenang
"Time Created";"Masa dicipta"
Prices;Harga
2121sadasd;2121sadasd
test22;menguji 22
"2014-09-16 11:19:32";"2014-09-16 11:19:32"
"Full Name";"Nama penuh"
inonbaguio;inonbaguio
"Inon Baguio";"Inon Baguio"
Content;Kandungan
CSR;TANGGUNGJAWAB SOSIAL KORPORAT
Marketing;Pemasaran
Super-User;Pengguna super
Guest;Tetamu
"Registered Users";"Pengguna berdaftar"
"Number of Registered Sellers:";"Bilangan penjual berdaftar:"
141;141
Affiliates;Ahli gabungan
"2014-07-02 14:34:28";"2014-07-02 14:34:28"
"sam gavinio";"Sam gavinio"
"Banana Republic";"Republik pisang"
38;38
"Report Manager";"Laporan Pengurus"
"Number of uploaded products per account";"Bilangan produk yang dimuat naik setiap akaun"
"Monthly Sign Up Statistics";"Bulanan mendaftar statistik"
"Users w/ &amp; w/out Products";"Pengguna w / & amp; w/out produk"
"Number of uploaded items per month";"Bilangan item yang dimuat naik setiap bulan"
"Number of items per parent category";"Bilangan item setiap kategori ibu/bapa"
"Show Entries";"Papar entri"
20;20
40;40
80;80
160;160
Monthsss;Monthsss
"Sign-up Count";"Bilangan pendaftaran"
2015;2015
January;Januari
29;29
February;Februari
March;Mac
April;April
May;Mungkin
2016;2016
Month;Bulan
"Showing 1 out 39 Entries";"Memaparkan 1 keluar entri 39"
"Dispute Details";"Butiran pertikaian"
KD3-38U123PI;KD3-38U123PI
12371237837;12371237837
"Complainant Full Name";"Nama penuh pengadu"
322-3245-59898;322-3245-59898
"Defendant Full Name";"Nama penuh defendan"
"Janvan Ding";"Perkara Janvan"
"Transaction Details";"Butir-butir transaksi daripada"
4916699163849;4916699163849
"Armando Upton";"Armando Upton"
"Waiting for Payment";"Menunggu pembayaran"
"Date of transaction";"Tarikh atau urus niaga"
"2015-09-02 13:12:59";"2015-09-02 13:12:59"
"see attachments";"Sila lihat lampiran"
x;x
Reason;Sebab
Open;Terbuka
On-Going;Berterusan
Rejected;Ditolak
Closed;Ditutup
"Boy Tigol";"Tigol budak"
"George Georgina";"George Georgina"
09/11/15;2009/11/15
"Search Keyword";"Kata kunci carian"
"Query String";"Rentetan pertanyaan"
"Number of Hits";"Bilangan Hits"
"apple UNION ALL SELECT NULL--";"Semua Kesatuan Apple Pilih Batal-"
"Transaction List";"Senarai transaksi"
!;!
Cancellation;Pembatalan
"Dispute Something";"Sesuatu pertikaian"
Flag;Bendera
DENIED;DITOLAK
"Create Vourcher";"Mencipta Vourcher"
"Code Name";"Kod nama"
"Voucher Type";"Jenis baucar"
Duration;Tempoh
"Usage Limit";"Had penggunaan"
"Discount Type";"Diskaun jenis"
Ramboo;Ramboo
"Something for Nothing";"Sesuatu untuk apa-apa"
"10 Days";"10 hari"
"1 per Account";"1 setiap akaun"
Utang;Bolelah
1000;1000
"Voucher Code Name";"Nama kod baucer"
"Voucher Code";"Kod Baucar"
"Generate Voucher Code";"Menjana kod baucar"
One-Time;Sekali
Multi-Use;Pelbagai guna
100;100
"Fixed Amount";"Jumlah tetap"
Percentage;Peratusan
100%;100%
"Voucher is currently Inactive";"Baucer sedang tidak aktif"
"Yes, Activate this Voucher";"Ya, mengaktifkan baucar ini"
"Voucher is Now Active";"Baucer ini kini aktif"
872378912897;872378912897
Unknown;Tidak diketahui
10/10/15;2010/10/15
"FullName / Email";"Fullname/e-mel"
"Remarks from Dispute";"Kata-kata dari pertikaian"
"Deposit Slip";"Deposit Slip"
Remarks:;Kata-kata:
"Enter your remarks";"Masukkan kata-kata anda"
"Deposit Slip:";"Deposit Slip:"
"Compatible files: JPG, JPEG, and PNG";"Fail yang sesuai: JPG, JPEG dan PNG"
